PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,CabinDeck,CabinNo.,CabinSide,Group,Group_size,Last_name,Family_size,IsAlone,Luxury_exp,Regular_exp,Total_exp
0001_01,Europa,False,B/0/P,TRAPPIST-1e,39.0,False,0.0,0.0,0.0,0.0,0.0,Maham Ofracculy,B,0,P,0001,1,Ofracculy,3.0,True,0.0,0.0,0.0
0002_01,Earth,False,F/0/S,TRAPPIST-1e,24.0,False,109.0,9.0,25.0,549.0,44.0,Juanna Vines,F,0,S,0002,1,Vines,4.0,True,702.0,34.0,736.0
0003_01,Europa,False,A/0/S,TRAPPIST-1e,58.0,True,43.0,3576.0,0.0,6715.0,49.0,Altark Susent,A,0,S,0003,2,Susent,7.0,False,6807.0,3576.0,10383.0
0003_02,Europa,False,A/0/S,TRAPPIST-1e,33.0,False,0.0,1283.0,371.0,3329.0,193.0,Solam Susent,A,0,S,0003,2,Susent,7.0,False,3522.0,1654.0,5176.0
0004_01,Earth,False,F/1/S,TRAPPIST-1e,16.0,False,303.0,70.0,151.0,565.0,2.0,Willy Santantines,F,1,S,0004,1,Santantines,9.0,True,870.0,221.0,1091.0
0005_01,Earth,False,F/0/P,PSO J318.5-22,44.0,False,0.0,483.0,0.0,291.0,0.0,Sandie Hinetthews,F,0,P,0005,1,Hinetthews,10.0,True,291.0,483.0,774.0
0006_01,Earth,False,F/2/S,TRAPPIST-1e,26.0,False,42.0,1539.0,3.0,0.0,0.0,Billex Jacostaffey,F,2,S,0006,2,Jacostaffey,9.0,False,42.0,1542.0,1584.0
0006_02,Earth,True,G/0/S,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,0.0,Candra Jacostaffey,G,0,S,0006,2,Jacostaffey,9.0,False,0.0,0.0,0.0
0007_01,Earth,False,F/3/S,TRAPPIST-1e,35.0,False,0.0,785.0,17.0,216.0,0.0,Andona Beston,F,3,S,0007,1,Beston,5.0,True,216.0,802.0,1018.0
0008_01,Europa,True,B/1/P,55 Cancri e,14.0,False,0.0,0.0,0.0,0.0,0.0,Erraiam Flatic,B,1,P,0008,3,Flatic,3.0,False,0.0,0.0,0.0
0008_02,Europa,True,B/1/P,TRAPPIST-1e,34.0,False,0.0,0.0,0.0,0.0,0.0,Altardr Flatic,B,1,P,0008,3,Flatic,3.0,False,0.0,0.0,0.0
0008_03,Europa,False,B/1/P,55 Cancri e,45.0,False,39.0,7295.0,589.0,110.0,124.0,Wezena Flatic,B,1,P,0008,3,Flatic,3.0,False,273.0,7884.0,8157.0
0009_01,Mars,False,F/1/P,TRAPPIST-1e,32.0,False,73.0,0.0,1123.0,0.0,113.0,Berers Barne,F,1,P,0009,1,Barne,4.0,True,186.0,1123.0,1309.0
0010_01,Earth,False,G/1/S,TRAPPIST-1e,48.0,False,719.0,1.0,65.0,0.0,24.0,Reney Baketton,G,1,S,0010,1,Baketton,6.0,True,743.0,66.0,809.0
0011_01,Earth,False,F/2/P,TRAPPIST-1e,28.0,False,8.0,974.0,12.0,2.0,7.0,Elle Bertsontry,F,2,P,0011,1,Bertsontry,9.0,True,17.0,986.0,1003.0
0012_01,Earth,False,G/160/P,TRAPPIST-1e,31.0,False,32.0,0.0,876.0,0.0,0.0,Justie Pooles,F,82,S,0012,1,Pooles,12.0,True,32.0,876.0,908.0
0014_01,Mars,False,F/3/P,55 Cancri e,27.0,False,1286.0,122.0,172.92606760871263,0.0,0.0,Flats Eccle,F,3,P,0014,1,Eccle,2.0,True,1286.0,122.0,1408.0
0015_01,Earth,False,F/4/P,55 Cancri e,24.0,False,0.0,1.0,0.0,0.0,637.0,Carry Hughriend,F,4,P,0015,1,Hughriend,9.0,True,637.0,1.0,638.0
0016_01,Mars,True,F/5/P,TRAPPIST-1e,45.0,False,0.0,0.0,0.0,0.0,0.0,Alus Upead,F,5,P,0016,1,Upead,7.0,True,0.0,0.0,0.0
0017_01,Earth,False,G/0/P,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,Lyde Brighttt,G,0,P,0017,2,Brighttt,8.0,False,0.0,0.0,0.0
0017_02,Earth,False,F/6/P,55 Cancri e,14.0,False,412.0,0.0,1.0,0.0,679.0,Philda Brighttt,F,6,P,0017,2,Brighttt,8.0,False,1091.0,1.0,1092.0
0020_01,Earth,True,E/0/S,TRAPPIST-1e,1.0,False,0.0,0.0,0.0,0.0,0.0,Almary Brantuarez,E,0,S,0020,6,Brantuarez,8.0,False,0.0,0.0,0.0
0020_02,Earth,True,E/0/S,55 Cancri e,49.0,False,0.0,0.0,0.0,0.0,0.0,Glendy Brantuarez,E,0,S,0020,6,Brantuarez,8.0,False,0.0,0.0,0.0
0020_03,Earth,True,E/0/S,55 Cancri e,29.0,False,0.0,0.0,0.0,0.0,0.0,Mollen Mcfaddennon,E,0,S,0020,6,Mcfaddennon,7.0,False,0.0,0.0,0.0
0020_04,Earth,False,E/0/S,TRAPPIST-1e,10.0,False,0.0,0.0,0.0,0.0,0.0,Breney Jacostanley,E,0,S,0020,6,Jacostanley,6.0,False,0.0,0.0,0.0
0020_05,Earth,True,E/0/S,PSO J318.5-22,1.0,False,0.0,0.0,0.0,0.0,0.0,Mael Brantuarez,E,0,S,0020,6,Brantuarez,8.0,False,0.0,0.0,0.0
0020_06,Earth,False,E/0/S,TRAPPIST-1e,7.0,False,0.0,0.0,0.0,0.0,0.0,Terta Mcfaddennon,E,0,S,0020,6,Mcfaddennon,7.0,False,0.0,0.0,0.0
0022_01,Mars,False,D/0/P,TRAPPIST-1e,21.0,False,980.0,2.0,69.0,0.0,0.0,Alasmon Meteet,D,0,P,0022,1,Belley,7.223729883243926,True,980.0,71.0,1051.0
0024_01,Europa,True,C/2/S,TRAPPIST-1e,62.0,False,0.0,0.0,0.0,0.0,0.0,Penton Fullided,C,2,S,0024,1,Fullided,1.0,True,0.0,0.0,0.0
0025_01,Earth,False,F/6/S,TRAPPIST-1e,15.0,False,0.0,225.0,0.0,998.0,0.0,Karard Brookenson,F,6,S,0025,1,Brookenson,6.0,True,998.0,225.0,1223.0
0026_01,Europa,False,C/0/P,55 Cancri e,34.0,False,22.0,6073.0,0.0,1438.0,328.0,Anyoni Unconary,C,0,P,0026,1,Unconary,2.0,True,1788.0,6073.0,7861.0
0028_01,Mars,False,F/8/P,TRAPPIST-1e,43.0,False,1125.0,0.0,136.0,48.0,0.0,Ceros Mare,F,8,P,0028,1,Mare,5.0,True,1173.0,136.0,1309.0
0030_01,Earth,False,G/4/S,TRAPPIST-1e,32.0,False,0.0,850.0,81.0,437.0,453.0,Ginia Morsentley,G,4,S,0030,1,Morsentley,4.0,True,890.0,931.0,1821.0
0031_01,Mars,False,F/9/P,TRAPPIST-1e,47.0,False,214.0,0.0,1411.0,0.0,1229.0,Coobix Datie,F,9,P,0031,3,Datie,5.0,False,1443.0,1411.0,2854.0
0031_02,Mars,False,F/9/P,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,Cinets Datie,F,9,P,0031,3,Datie,5.0,False,0.0,0.0,0.0
0031_03,Mars,False,F/9/P,TRAPPIST-1e,20.0,False,221.14014678326046,0.0,1750.0,990.0,0.0,Dontch Datie,F,9,P,0031,3,Datie,5.0,False,990.0,1750.0,2740.0
0034_01,Europa,True,D/1/S,55 Cancri e,28.0,False,0.0,0.0,0.0,0.0,0.0,Ziba Oingwhedly,D,1,S,0034,1,Oingwhedly,1.0,True,0.0,0.0,0.0
0035_01,Mars,False,D/1/P,55 Cancri e,23.0,False,784.0,964.0,0.0,951.0,0.0,Luse Butte,D,1,P,0035,1,Butte,6.0,True,1735.0,964.0,2699.0
0036_01,Earth,False,F/8/S,55 Cancri e,15.0,False,0.0,492.0,48.0,20.0,401.0,Marina Leodger,F,8,S,0036,1,Leodger,6.0,True,421.0,540.0,961.0
0038_01,Earth,False,F/10/S,55 Cancri e,20.0,False,554.0,195.0,0.0,2606.0,0.0,Loise Wheelez,F,10,S,0038,1,Wheelez,7.0,True,3160.0,195.0,3355.0
0039_01,Earth,True,G/1/P,55 Cancri e,30.0,False,0.0,0.0,0.0,0.0,0.0,Jorgie Batthewitt,G,1,P,0039,1,Batthewitt,2.0,True,0.0,0.0,0.0
0041_01,Earth,True,G/2/P,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,0.0,0.0,Margia Moodsey,G,2,P,0041,1,Moodsey,11.0,True,0.0,0.0,0.0
0043_01,Europa,False,B/3/P,TRAPPIST-1e,45.0,False,0.0,164.0,45.0,2511.0,855.0,Ankalik Cylistrand,B,3,P,0043,1,Cylistrand,3.0,True,3366.0,209.0,3575.0
0044_01,Earth,True,G/3/P,TRAPPIST-1e,55.0,False,0.0,0.0,0.0,0.0,0.0,Jodye Coopelandez,G,3,P,0044,3,Coopelandez,9.0,False,0.0,0.0,0.0
0044_02,Earth,True,G/3/P,55 Cancri e,4.0,False,0.0,0.0,0.0,0.0,0.0,Kayne Coopelandez,G,3,P,0044,3,Coopelandez,9.0,False,0.0,0.0,0.0
0044_03,Earth,True,G/3/P,PSO J318.5-22,21.0,False,0.0,0.0,0.0,0.0,0.0,Cassa Coopelandez,G,3,P,0044,3,Coopelandez,9.0,False,0.0,0.0,0.0
0045_01,Mars,False,F/10/P,TRAPPIST-1e,21.0,False,970.0,0.0,180.0,0.0,64.0,Zelowl Chmad,F,10,P,0045,2,Chmad,7.0,False,1034.0,180.0,1214.0
0045_02,Mars,True,F/10/P,TRAPPIST-1e,19.0,False,0.0,0.0,0.0,0.0,0.0,Mass Chmad,F,10,P,0045,2,Chmad,7.0,False,0.0,0.0,0.0
0050_01,Earth,False,E/1/S,55 Cancri e,35.0,False,790.0,0.0,0.0,305.5862876776511,0.0,Sony Lancis,E,1,S,0050,1,Lancis,3.0,True,790.0,0.0,790.0
0051_01,Earth,False,E/2/S,TRAPPIST-1e,56.0,False,0.0,112.0,0.0,1379.0,127.0,Vivia Johnshines,E,2,S,0051,1,Johnshines,6.0,True,1506.0,112.0,1618.0
0052_01,Earth,False,G/6/S,TRAPPIST-1e,28.771968503937007,False,4.0,0.0,2.0,4683.0,0.0,Elaney Hubbarton,G,6,S,0052,1,Hubbarton,8.0,True,4687.0,2.0,4689.0
0053_01,Earth,False,F/11/S,TRAPPIST-1e,25.0,False,0.0,0.0,1938.0,0.0,1.0,Elson Hickerson,F,11,S,0053,1,Hickerson,10.0,True,1.0,1938.0,1939.0
0056_01,Europa,False,A/1/S,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,Okulas Tractive,A,1,S,0056,3,Tractive,6.0,False,0.0,0.0,0.0
0056_02,Europa,True,A/1/S,TRAPPIST-1e,38.0,False,0.0,0.0,0.0,0.0,0.0,Instab Tractive,A,1,S,0056,3,Tractive,6.0,False,0.0,0.0,0.0
0056_03,Europa,False,A/1/S,TRAPPIST-1e,27.0,False,279.0,605.0,3374.0,286.0,3.0,Zinoces Tractive,A,1,S,0056,3,Tractive,6.0,False,568.0,3979.0,4547.0
0058_01,Earth,True,G/7/S,PSO J318.5-22,36.0,False,0.0,0.0,0.0,0.0,0.0,Warry Ayalazquez,G,7,S,0058,1,Ayalazquez,6.0,True,0.0,0.0,0.0
0061_01,Earth,False,F/12/S,TRAPPIST-1e,22.0,False,45.0,1096.0,148.0,1377.0,1.0,Shanya Salez,F,12,S,0061,1,Salez,5.0,True,1423.0,1244.0,2667.0
0062_01,Earth,False,F/13/S,TRAPPIST-1e,62.0,False,0.0,592.0,0.0,17.0,25.0,Sterry Greeves,F,13,S,0062,1,Greeves,8.0,True,42.0,592.0,634.0
0064_01,Mars,True,F/14/S,TRAPPIST-1e,15.0,False,0.0,0.0,0.0,0.0,0.0,Alasmon Meteet,F,14,S,0064,2,Belley,7.223729883243926,False,0.0,0.0,0.0
0064_02,Mars,True,E/3/S,TRAPPIST-1e,33.0,False,0.0,0.0,0.0,0.0,0.0,Colatz Keen,E,3,S,0064,2,Keen,6.0,False,0.0,0.0,0.0
0066_01,Earth,False,G/6/P,TRAPPIST-1e,62.0,False,1.0,153.0,197.0,0.0,460.0,Diandy Pecketton,G,6,P,0066,1,Pecketton,5.0,True,461.0,350.0,811.0
0067_01,Earth,True,G/10/S,PSO J318.5-22,0.0,False,0.0,0.0,0.0,0.0,0.0,Ninaha Leeves,G,10,S,0067,3,Leeves,9.0,False,0.0,0.0,0.0
0067_02,Earth,False,G/10/S,TRAPPIST-1e,18.0,False,1.0,258.0,446.0,0.0,0.0,Celine Leeves,G,10,S,0067,3,Leeves,9.0,False,1.0,704.0,705.0
0067_03,Earth,False,F/15/S,55 Cancri e,21.0,False,1946.0,37.0,0.0,0.0,24.0,Velyne Leeves,F,15,S,0067,3,Leeves,9.0,False,1970.0,37.0,2007.0
0068_01,Mars,False,E/4/S,TRAPPIST-1e,28.771968503937007,False,793.0,0.0,2.0,253.0,0.0,Cinst Binie,E,4,S,0068,1,Binie,3.0,True,1046.0,2.0,1048.0
0069_01,Earth,False,F/16/S,TRAPPIST-1e,42.0,False,887.0,0.0,9.0,6.0,0.0,Alasmon Meteet,F,16,S,0069,1,Belley,7.223729883243926,True,893.0,9.0,902.0
0070_01,Earth,False,F/13/P,TRAPPIST-1e,19.0,False,190.0,0.0,5.0,1.0,726.0,Meremy Brighttt,F,13,P,0070,1,Brighttt,8.0,True,917.0,5.0,922.0
0071_01,Earth,False,F/14/P,TRAPPIST-1e,17.0,False,16.0,2165.0,0.0,0.0,52.0,Nelly Dillines,F,14,P,0071,1,Dillines,3.0,True,68.0,2165.0,2233.0
0072_01,Earth,False,F/17/S,TRAPPIST-1e,14.0,False,0.0,1.0,0.0,0.0,1063.0,Thell Brantuarez,F,17,S,0072,1,Brantuarez,8.0,True,1063.0,1.0,1064.0
0073_01,Mars,False,D/3/P,PSO J318.5-22,37.0,False,46.0,83.0,738.0,0.0,12.0,Gorn Make,D,3,P,0073,1,Make,11.0,True,58.0,821.0,879.0
0074_01,Europa,False,C/3/S,TRAPPIST-1e,42.0,False,1.0,8397.0,0.0,0.0,506.0,Aldibah Mostedry,C,3,S,0074,1,Mostedry,7.0,True,507.0,8397.0,8904.0
0076_01,Mars,False,F/18/S,TRAPPIST-1e,27.0,False,147.0,0.0,1018.0,0.0,0.0,Conk Dal,F,18,S,0076,1,Dal,11.0,True,147.0,1018.0,1165.0
0077_01,Mars,False,F/15/P,TRAPPIST-1e,28.0,False,14.0,0.0,1295.0,0.0,0.0,Pon Blité,F,15,P,0077,1,Blité,2.0,True,14.0,1295.0,1309.0
0078_01,Europa,False,C/4/S,TRAPPIST-1e,38.0,False,0.0,5840.0,0.0,321.0,9654.0,Spuri Pokerheed,C,4,S,0078,1,Pokerheed,4.0,True,9975.0,5840.0,15815.0
0081_01,Earth,True,G/13/S,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,Dellie Vinozarks,G,13,S,0081,1,Vinozarks,9.0,True,0.0,0.0,0.0
0082_01,Mars,False,F/16/P,TRAPPIST-1e,42.0,False,7406.0,0.0,0.0,0.0,0.0,Totse Datte,F,16,P,0082,3,Datte,6.0,False,7406.0,0.0,7406.0
0082_02,Mars,True,F/16/P,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,Eaturs Datte,F,16,P,0082,3,Datte,6.0,False,0.0,0.0,0.0
0082_03,Mars,False,F/16/P,TRAPPIST-1e,8.0,False,0.0,0.0,0.0,0.0,0.0,Alasmon Meteet,F,16,P,0082,3,Belley,7.223729883243926,False,0.0,0.0,0.0
0084_01,Earth,False,G/14/S,TRAPPIST-1e,24.0,False,688.0,0.0,0.0,0.0,17.0,Coren Coopezmaney,G,14,S,0084,1,Coopezmaney,6.0,True,705.0,0.0,705.0
0085_01,Europa,True,C/5/S,TRAPPIST-1e,40.0,False,0.0,0.0,0.0,0.0,0.0,Furudah Ellcefulve,C,5,S,0085,1,Ellcefulve,2.0,True,0.0,0.0,0.0
0086_01,Earth,False,F/17/P,TRAPPIST-1e,43.0,False,211.0,0.0,0.0,638.0,513.0,Jodye Kinson,F,17,P,0086,1,Kinson,8.0,True,1362.0,0.0,1362.0
0088_01,Mars,True,E/5/S,PSO J318.5-22,45.0,False,0.0,0.0,0.0,0.0,0.0,Stmeal Sacre,E,5,S,0088,1,Sacre,5.0,True,0.0,0.0,0.0
0090_01,Earth,True,G/15/S,TRAPPIST-1e,35.0,False,0.0,0.0,0.0,0.0,0.0,Heremy Santry,G,15,S,0090,1,Santry,11.0,True,0.0,0.0,0.0
0091_01,Earth,True,G/16/S,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,0.0,Deanne Yorkland,G,16,S,0091,2,Yorkland,13.0,False,0.0,0.0,0.0
0091_02,Earth,False,F/20/S,TRAPPIST-1e,27.0,False,1.0,697.0,31.0,188.0,0.0,Tinez Yorkland,F,20,S,0091,2,Yorkland,13.0,False,189.0,728.0,917.0
